id,title,abstract,year
1567,Development and Application of a Patent-Based Design Around Process,"This research proposes a patent-based design process by systematically integrating patent information, the rules of patent infringement judgment, strategies of designing around patents, and innovation design methodologies. The purpose of the process is to systematically generate new design concepts that are local variations of one of the concerned patents but does not infringe with existing patents. The basic idea is to consider patent infringement before engineering design concepts are actually generated. In this process, first the designer conducts standard patent analysis to identify the related patents to be designed around. Each patent is then symbolized by a “design matrix” converted from the technology/function matrix of the patent. A design-around algorithm is developed to generate a new design matrix that does not infringe with design matrices of existing patents. Then the new design matrix is transformed back into a real engineering design using the “contradiction matrix” in TRIZ. A computerized design-around tool based on the innovative patent-based design process is also developed.",2010
1568,A Port-Based Agent Approach to Guiding Concept Generation for Customizing Modular Varieties,"As the description of design requirements at the earlier design stage is inaccurate and vague, it is difficult to figure out functional structure of a product and make sense product configuration. Therefore, it plays an important role to formally represent the process of design for product development in the conceptual design stage. Furthermore, port, as the location of intended interaction, is crucial to capture component concept and realize conceptual design for multi-solution generation. Agent is considered as an effective approach to collaboratively implementing design problem solving and reasoning. Combining both port and agent may be employed to generate new concepts of the product in order to customize product scheme varieties. In this paper, the product module attributes are firstly described. The objective is to implement modeling of design process for obtaining system new concepts to guide multi-solution generation. Secondly, an effective approach to decomposing design process is presented to describe the process of structure generations and product decomposition by formal representation. According to properties of modularity for product development and component connections, we can calculate the number of component connections and density of components. In addition, product module division and coupling degree analysis are conducted, and coupling degrees are calculated by considering the correspondence ratio and the cluster independence. A port-based knowledge building process is described for functional modeling. A port-agent collaborative design framework is given and describes different agent functions to help designers to obtain new design schemes. Finally, a case study is presented to describe the modeling process of conceptual design.",2010
1569,Requirement Change Propagation Prediction Approach: Results From an Industry Case Study,"This paper presents an industry case study investigating change propagation due to requirement changes. This paper makes use of a change propagation prediction tool, ΔDSM, to identify if the propagated changes could have been identified and predicted. The study used an automation firm’s client project as the study subject. The project entailed 160 requirements, changing over the span of 15 month. Engineering change notifications were developed for each change and documented under the firm’s data management system. This study makes use of the change notifications to identify if any of the change were as a result of a previous change. The findings of this paper indicated the changes that occurred could have been predicted as the ΔDSM was able to predict affected requirements. This was identified by finding subsequent requirements in the engineering change notification documentation that the ΔDSM indicated might change.",2010
1570,A Graph Theory Based Method for Functional Decoupling of a Design With Complex Interaction Structure,"The primary objective in design is to achieve the target value of the design’s functional requirement. In design with multiple functional requirements, one way a design fails is the inability to converge to the multiple target values in spite of iterative adjustment of the design parameters. This is symptom of a design that fails to perform in the presence of functional coupling. Functional coupling occurs when two or more functional requirements are affected by a common set of design parameters. It is particularly difficult to identify and break when it involves inter-relation loops created among large number of functional requirements, typical of a large complex system. This paper presents a structured method based on the graph theory to effectively identify and eliminate functional couplings in a design. Use of the graph theory in this context is natural by the fact that inter-relations among functional requirements and design parameters can be represented by a digraph. Each inter-relation corresponds to an arc of the digraph, and functional coupling is equivalent to a cycle in it. The proposed method consists of: 1) represent interactions among functional requirements and design parameters as a digraph, 2) construct the cycle matrix for the digraph, 3) identify those candidate sets of arcs that, if removed, will destroy all cycles in the digraph, and 4) examine engineering feasibility of the candidate solutions. Once target interactions, i.e. arcs, are determined, the design parameters responsible for those interactions are modified to implement the solution. To demonstrate the effectiveness of the proposed method, we apply it to a large complex system, the car door to body, involving 28 functional requirements and design parameters.",2010
1571,"Mass Customization: A Review of the Paradigm Across Marketing, Engineering and Distribution Domains","Introduced nearly 25 years ago, the paradigm of mass customization (MC) has largely not lived up to its promise. Despite great strides in information technology, engineering design practice, and manufacturing production, the necessary process innovations that can produce products and systems with sufficient customization and economic efficiency have yet to be found in wide application. In this paper, the state-of-the-art in MC is explored in order to answer the question of “why not?” and to highlight areas for specific research in the MC paradigm. To establish perspective for this work, we consider MC to be a product development approach which allows for the production of goods — after a customer places an order — which minimize the tradeoff between the ideal product and the available product by fulfilling the needs and preferences of individuals functionally, emotionally and anthropologically. Results of this research were generated by reviewing 88 papers from various journals that span three domains of interest (marketing, engineering, and distribution) and explore proposed methodologies, specific information inputs and outputs, proposed metrics, and barriers toward the implementation of MC. Qualitatively, we show that the lack of MC in application is due to two factors: 1) a lack of marketing tools capable of capturing individual needs that can be mapped to the technical space; and 2) a lack of information relation mechanisms that connect the domains of marketing, engineering, and distribution. In the end it is our belief that MC is realizable and that eventually it will emerge as a dominant paradigm in the design and delivery of products and systems. However, pursuing the opportunities for research presented in this work will hopefully speed this emergence.",2010
1572,Automated Concept Generation Using Branched Functional Models,"This paper discusses a new concept generation technique that improves upon a previous automated concept generation theory and algorithm developed by Bryant, et al. at the University of Missouri – Rolla. The previous automated concept generation algorithm utilizes the design knowledge present in a repository to produce an array of partial concept solutions. While the previous algorithm is capable of handling branched functional models, it does not efficiently remove all of the infeasible partial solutions to leave only whole concepts in the final results. A matrix-based algorithm is presented in this paper that utilizes the result from the previous concept generation algorithm and solves for complete solutions of branched concepts. The presented algorithm eliminates incomplete and infeasible concepts or components from the results and generates a set of full solutions for further analysis by a designer. The details of the algorithm are described in this paper, and a peanut-sheller example is used to illustrate the effective use of the algorithm for producing branched concept variants.",2010
1573,Development of Game Theoretic Protocols for Multilevel Design,"The effectiveness of the use of game theory in addressing multi-objective design problems has been illustrated. For the most part, researchers have focused on design problems at single level. In this paper, we illustrate the efficacy of using game theoretic protocols to model the relationship between multidisciplinary engineering teams and facilitate decision making at multiple levels. We will illustrate the protocols in the context of an underwater vehicle with three levels that span material and geometric modeling associated with microstructure mediated design of the material and vehicle.",2010
1574,Exploring Automated Concept Generator Output Through Principal Component Analysis,"During conceptual design it is desirable to produce many potential solutions. Recently, computational tools have emerged to help designers more fully explore possible solutions. These automated concept generators use knowledge from existing products and the desired functionality of the new design to suggest solutions. While research has shown these tools can increase the variety of solutions developed, they often provide unmanageably large sets of poorly differentiated results. This work proceeds from the hypothesis that automated concept generator output includes many permutations of a relatively few principal solution variants. A method to discover these underlying solution types from the initial concept generator output is proposed. The proposed method employs principal component analysis for variable reduction followed by cluster analysis for classification. The method is applied to the automatically generated solutions of three sample design problems. Preliminary evidence of the utility and efficiency of the proposed method is presented based upon those sample problems. Finally, a method for extending the proposed technique to much larger solution sets is discussed.",2010
1575,Concept Opportunity Diagrams: A Visual Modeling Method to Find Multifunctional Design Concepts,"A transforming product is a system that has different functionality when physically changed or reconfigured into a different state. This increased functionality allows diverse customer needs to be met in a single product. Transforming devices have become more prevalent in recent years, as customers desire both increased capabilities and reduced complexity to reduce waste in our society. When designing a multifunctional product that transforms from one state to another, it can be difficult to conceptualize a design that does not reduce effectiveness or provide a compromise in either state. Transformational Design Theory has been developed and shows basic principles and facilitators that enable transformation to occur within a product space. An illustrative example is a chair designed to flip over to be used as a table. Flip is one of the 19 facilitators that are found in transformation design. This is also an example of expose/cover, a transformation design principle. Certain principles and facilitators are more prevalent than others in different design domains (such as tools, storage, organisms etc.). If we know the states that exist within the transformer, concept opportunity diagrams can be used to determine the opportunities for transformation within each state. When the diagrams are paired with a constituent relationship chart specific to each domain, new design concepts may be facilitated. This technique creates a cognitive process for designers where they process a series of questions when creating the concept opportunity diagram. The diagram will help them understand the unanticipated additional design space of each state. The Constituent Relationship Chart is a tool that allows them to apply their knowledge of these states to the facilitator hierarchy so that prospective facilitators can directly contribute to originally unforeseen design concepts. This paper presents this twofold process known as the Transformer Diagram Matching Method and shows the results on a fully functioning prototype of an office supply transformer. Although the proposed process is detailed, it allows the designer to find a large number of quality concepts they would not have foreseen otherwise. Our original concept generation processes produced thirty eight ideas, but this process added another thirty two ideas to the design space. The paper indicates specifically how this method can be integrated in with the standard transformational design process as well as suggests strategies for implementation within other design techniques.",2010
1576,Modular Product Configuration: An Automatic Tool for Eliciting Design Knowledge From Parametric CAD Models,"The offer of tailored products is a key factor to satisfy specific customer needs in the current competitive market. Modular products can easily support customization in a short time. Design process, in this case, can be regarded as a configuration task where solution is achieved through the combination of modules in overall product architecture. In this scenario efficient configuration design tools are evermore important. Although many tools have been already proposed in literature, they need further investigation to be applicable in real industrial practice, because of the high efforts required to implement system and the lack of flexibility in products updating. This work describes an approach to overcome drawbacks and to introduce a product independent configuration system which can be useful in designing recurrent product modules. To manage configuration from the designer perspective, the approach is based on Configurable Virtual Prototypes (CVP). In particular, the definition of geometrical models is analyzed providing a tool for eliciting and reusing knowledge introduced by parametric template CAD models. Semantic rules are used to recognize parts parameterization and assembly mating constraints. The approach is exemplified through a case study.",2010
1577,Reconfigurable Products and Their Means of Reconfiguration,"Reconfigurable systems are able to meet the increasingly diverse needs of consumers. A reconfigurable system is able to change its configuration repeatedly and reversibly to match the customer’s needs or the surrounding environment, allowing the system to meet multiple requirements. In this paper, a sample of reconfigurable products was studied to better understand the methods used to achieve different configurations. Four methods of reconfiguration were discovered. This expands work previously done in a parallel field with products that transform where only three methods were identified. In order to support the findings of this paper, the variations were identified and example products were presented that clearly show the need for at least one additional method of reconfiguring. A case study is also provided to illustrate the benefits of incorporating four principles, as apposed to three, into the concept generation phase of new reconfigurable product development.",2010
1578,"Optimal Adaptable Design Considering Changes of Requirements, Configurations and Parameters in the Whole Product Life-Cycle","Adaptable design is a new design approach to create an adaptable product to replace multiple products for satisfying the different requirements in the product life-cycle. In this research, a method to identify the optimal product considering changes of requirements, configurations and parameters in the whole product life-cycle is introduced. The requirements, configurations and parameters of the adaptable product are modeled as functions of the life-cycle time parameter. The adaptable product is changed to different configurations and parameters to satisfy the different requirements in different life-cycle time periods. The evaluation measures, which are achieved from configurations and parameters, are also changed in different life-cycle time periods. The optimal product, modeled by its configurations and parameters, considering the whole product life-cycle is identified through optimization. A case study is provided to demonstrate how the introduced method can be employed for solving engineering problems.",2010
1579,State Transition in Reconfigurable Systems,"Reconfigurable systems that maintain a high level of performance under changing operational conditions and requirements are an ongoing research challenge. Many existing systems are able to work under narrow operational conditions only. They should perform the configuration transitions from the current state to a desired one smoothly. The question is: how to find the optimal state transition trajectory that configures the system from an initial state to a desired state? We present a method to determine steps (list of actions to be taken) of state transitions for reconfigurable systems. This method makes use of graph search algorithms that solve shortest path problems and that are commonly used in routing: Dijkstra’s algorithm and the A* algorithm. The method is applied to the design of a reconfigurable printer, which has to change its configuration to achieve maximum performance (e.g. high quality of print) when operational conditions are changing (e.g. speed of printing).",2010
1580,An Engineering Design Strategy for Reconfigurable Products That Support Poverty Alleviation,"Reconfigurable products can adapt to new and changing customer needs. One potential, high-impact, area for product reconfiguration is in the design of income-generating products for poverty alleviation. Non-reconfigurable income-generating products such as manual irrigation pumps have helped millions of people sustainably escape poverty. However, millions of other impoverished people are unwilling to invest in these relatively costly products because of the high perceived and actual financial risk involved. As a result, these individuals do not benefit from such technologies. Alternatively, when income-generating products are designed to be reconfigurable, the window of affordability can be expanded to attract more individuals, while simultaneously making the product adaptable to the changing customer needs that accompany an increased income. The method provided in this paper significantly reduces the risks associated with purchasing income-generating products while simultaneously allowing the initial purchase to serve as a foundation for future increases in income. The method presented builds on principles of multiobjective optimization and Pareto optimality, by allowing the product to move from one location on the Pareto frontier to another through the addition of modules and reconfiguration. Elements of product family design are applied as each instantiation of the reconfigurable product is considered in the overall design optimization of the product. The design of a modular irrigation pump for developing nations demonstrates the methodology.",2010
1581,A Framework for Choice Modeling in Usage Context-Based Design,"Usage Context-Based Design (UCBD) is an area of growing interest within the design community. A framework and a step-by-step procedure for implementing consumer choice modeling in UCBD are presented in this work. To implement the proposed approach, methods for common usage identification, data collection, linking performance with usage context, and choice model estimation are developed. For data collection, a method of try-it-out choice experiments is presented. This method is necessary to account for the different choices respondents make conditional on the given usage context, which allows us to examine the influence of product design, customer profile, usage context attributes, and their interactions, on the choice process. Methods of data analysis are used to understand the collected choice data, as well as to understand clusters of similar customers and similar usage contexts. The choice modeling framework, which considers the influence of usage context on both the product performance, choice set and the consumer preferences, is presented as the key element of a quantitative usage context-based design process. In this framework, product performance is modeled as a function of both the product design and the usage context. Additionally, usage context enters into an individual customer’s utility function directly to capture its influence on product preferences. The entire process is illustrated with a case study of the design of a jigsaw.",2010
1582,Product Family Deployment Through Optimal Resource Allocation Under Market System,"A series of products, i.e. a product family is deployed for effectively and flexibly meeting with a variety of customer’s needs under a given product platform. Since such a deployment consumes various engineering resources and simultaneously brings profits gradually over the time sequence, when and how respective modules are designed and respective products are launched to the market must be rationally planed. Further, as a nature of product families, module commonalization accelerates the deployment but infuses some overheads on features and production cost. This paper investigates such a product family deployment problem under the optimal design viewpoint. After some general discussions, a mathematical model of dynamic design decisions is conditionally developed by integrating a combinatorial optimization technique for decision of module selection on commonalization and a market system model with discrete choice analysis and for describing the compromise among sequence of product rollout, arrangement of product lineup, required engineering resource, expected profit, etc. Then, the compromise among those factors is illustrated through the case study on a simplified deployment problem of circuit boards for digital television sets. Finally, an optimal planning approach for product family deployment and accompanied resource allocation is envisioned based on the developed model and findings from the case studies.",2010
1583,Strategic Product Design Decisions for Uncertain Market Systems Using an Agent Based Approach,"Market players, such as competing manufacturing firms and retail channels, can significantly influence the demand and profit of a new product. Existing methods in design for market systems use game theoretic models that can maximize a focal manufacturing firm’s profit with respect to product design and price variables given the Nash equilibrium of the market system. However, in the design for uncertain market systems, there is seldom equilibrium with players having fixed strategies in a given time period. In this paper, we propose an agent based approach for design for market systems that accounts for learning behaviors of the market players under uncertainty. By learning behaviors we mean that market players gradually, over a time period, learn to play with better strategies based on action-reaction behaviors of other players. We model a market system with agents representing competing manufacturers and retailers who possess learning capabilities and are able to automatically react and make decisions on the product design and pricing. The proposed approach provides strategic design and pricing decisions for a focal manufacturer in response to anticipated reactions from market players in the short and long term horizons. Our example results show that the proposed agent based approach can produce competitive strategies for a focal firm over a time period when market players react only by setting prices compared to a game theoretic approach. Furthermore, it can yield profitable product design decisions and competitive strategies when competing firms react by changing design attributes in the short term — a case for which no previous method in design for market systems has been reported.",2010
1584,A Method for Supporting Service Design Based on Multiple Domain Knowledge,"Recently, it has become increasingly important to provide customers with highly creative services to attain differentiation from competing firms. Fulfilling customer requirements with such creative service contents is an effective way to differentiate a firm’s services from those of its competitors. However, there have been few studies that directly support the creation of new service contents, e.g., service design support using information-processing technology for knowledge by the computer. It is valid for service providers to acquire creative service design solutions that fulfill customer requirements. In this paper, we propose a support method to fulfill customer requirements for a target service by using the functions of another type of service. This method supports the acquisition of new service design solutions on the basis of the similarity with the customer requirements or functions of different services. The proposed method is verified by applying it to an existing service case.",2010
1585,Parallel Biogeography-Based Optimization With GPU Acceleration for Nonlinear Optimization,"This paper presents a massively parallel Biogeography-based Optimization – Pattern Search (BBO-PS) algorithm with graphics hardware acceleration on bound constrained optimization problems. The objective of this study was to determine the effectiveness of using Graphics Processing Units (GPU) as a hardware platform for BBO-PS. GPU, the common graphics hardware found in modern personal computers (PC), can be used for data-parallel computing in a desktop setting. In this research, the BBO was adapted in the data-parallel GPU computing platform featuring ‘Single Instruction – Multiple Thread’ (SIMT). The global optimal search of the BBO was enhanced by the classical local Pattern Search (PS) method. The hybrid BBO-PS method was implemented in the GPU environment, and compared to a similar implementation in the common computing environment with a Central Processing Unit (CPU). Computational results indicated that GPU-accelerated SIMT-BBO-PS method was orders of magnitude faster than the corresponding CPU implementation. The main contribution of this paper was the parallelization analysis and performance analysis of the hybrid BBO-PS with GPU acceleration. The research result was significant in that it demonstrated a very promising direction for high speed optimization with desktop parallel computing on a personal computer (PC).",2010
1586,Constraint Importance Mode Pursuing Sampling for Continuous Global Optimization,"Many engineering design problems deal with global optimization of constrained black-box problems which is usually computation-intensive. Ref. [1] proposed a Mode-Pursuing Sampling (MPS) method for global optimization based on a sampling technique which systematically generates more sample points in the neighborhood of the function mode while statistically covering the entire problem domain. In this paper, we propose a novel and more efficient sampling technique which greatly enhances the performance of the MPS method, especially in the presence of ",2010
1587,"Design Preference Elicitation, Derivative-Free Optimization and Support Vector Machine Search","In design preference elicitation, we seek to find individuals’ design preferences, usually through an interactive process that would need only a very small number of interactions. Such a process is akin to an optimization algorithm that operates with point values of an unknown function and converges in a small number of iterations. In this paper, we assume the existence of individual preference functions and show that the elicitation task can be translated into a derivative-free optimization (DFO) problem. Different from commonly-studied DFO formulations, we restrict the outputs to binary classes discriminating sample points with higher function values from those with lower values, to capture people’s natural way of expressing preferences through comparisons. To this end, we propose a heuristic search algorithm using support vector machines (SVM) that can locate near-optimal solutions with a limited number of iterations and a small sampling size. Early experiments with test functions show reliable performance when the function is not noisy. Further, SVM search appears promising in design preference elicitation when the dimensionality of the design variable domain is relatively high.",2010
1588,"Protocol-Based Multi-Agent Systems: Examining the Effect of Diversity, Dynamism, and Cooperation in Heuristic Optimization Approaches","Many heuristic optimization approaches have been developed to combat the ever-increasing complexity of engineering problems. In general, these approaches can be classified based on the diversity of the search strategies used, the amount of change to those search strategies during the optimization process, and the level of cooperation between the strategies. A review of the literature indicates that approaches which are simultaneously very diverse, highly dynamic, and cooperative are rare but have immense potential for finding high quality final solutions. In this work, a taxonomy of heuristic optimization approaches is introduced and used to motivate a new approach, entitled Protocol-based Multi-Agent Systems. This approach is found to produce final solutions of much higher quality when its implementation includes the use of multiple search protocols, the adaptation of those protocols during the optimization, and the cooperation between the protocols than when these characteristics are absent.",2010
1589,A Hybrid Biomimetic Genetic Algorithm Using a Local Fuzzy Simplex Search,"This paper presents a hybrid genetic algorithm that expands upon the previously successful approach of twinkling genetic algorithm (TGA) by incorporating a highly efficient local fuzzy-simplex search within the algorithm. The TGA was in principle a bio-mimetic algorithm that introduced a controlled deviation from a typical GA method, by not requiring that every genevariable of an offspring be the result of a crossover. Instead, twinkling allowed the genetic information of the randomly chosen gene locations to be directly passed on from one parent, which was shown to increase the likelihood of survival of a successful gene value within the offspring, rather than requiring it to be blended. The twinkling genetic algorithms proved highly effective at locating exact global optimum with a competitive rate of convergence for a wide variety of benchmark problems. In this work, it is proposed to couple the TGA with a fuzzy simplex local search to increase the rate of convergence of the algorithm. The proposed algorithm is tested using common mathematical and engineering design benchmark problems. Comparison of the results of this algorithm with earlier algorithms is presented.",2010
1590,Computation of the Usage Contexts Coverage of a Jigsaw With CSP Techniques,"In the context of the Usage Context Based Design (UCBD) of a product-service, a taxonomy of variables is suggested to setup the link between the design parameters of a product-service and the part of a set of expected usages that may be covered. This paper implements a physics-based model to provide a performance prediction for each usage context that also depends on the user skill. The physics describing the behavior and consequently the performances of a jigsaw are established. Simulating numerically the usage coverage is non trivial for two reasons: the presence of circular references in physical relations and the need to efficiently propagate value sets or domains instead of accurate values. For these two reasons, we modeled the usage coverage issue as a Constraint Satisfaction Problem and we result in the expected service performances and a value of a covered usage indicator.",2010
1591,Visual Analysis of User Accommodation,"This study presents a novel, quantitative tool for design decision-making for products designed for human variability. Accommodation, which describes the ability of a user to interact with a device or environment in a preferred way, is a key product performance metric. Methods that offer a better understanding of accommodation of broad user populations would allow for the design of products that are more cost-effective, safer, and/or lead to greater levels of customer satisfaction. Target user populations are often characterized by measures of anthropometry, or body dimensions. A methodology is proposed that uses a visual analysis method for understanding and exploring accommodation across the variability in anthropometry of a target user population. This is achieved by assessing binary accommodation of individuals using a “virtual fit” method and examining trends in binary accommodation across the range of anthropometric variability, referred to as the “anthropometry space”. Various factors influencing accommodation, such as user preference independent of anthropometry and the quality of a design, are also discussed and are an important contribution of the work. Two demonstration studies are presented that illustrate the methodology and provide opportunity for discussion of its impact. The first study investigates the simple univariate problem of dimensionally optimizing the seat height and range of adjustability of an exercise cycle. The second study investigates the more complex problem of optimally configuring the driver package of a commercial truck.",2010
1592,Considering Secular and Demographic Trends in Designing for Present and Future Populations,"In products designed for human variability, the anthropometry (body measurements) of the target user population constitutes a primary source of variability that must be considered in the optimization of the spatial dimensions of the product. Accommodation, which describes the ability of a user to interact with a device or environment in their preferred manner, is a key measure of its performance. Other studies have considered various methods for accounting for the variability in anthropometry in a target user population to calculate estimated accommodation, but few have explicitly considered the effects of secular trends and demographic changes over time. This paper considers these changes in the context of a case study involving truck drivers and cab geometry. The truck driver populations are used to illustrate changes in body size and shape over a 30-year period and show how they affect user acceptability of designs. Changes in the gender split of the driver population are also considered, and are shown to have a significant effect on accommodation. The work demonstrates that secular trends and demographic changes over time significantly affect accommodation, but a well designed product will be more robust to these changes.",2010
